Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Hasar_Durumu,Yas
870000.0,09 Aralık 2025,12,37,388,2018.0,210000.0,0,1,7,2,1582.0,136.0,4,İkinci El,"4,5 lt",43 lt,Tamamı orjinal,Takasa Uygun,Galeriden,0,7.0
725000.0,10 Aralık 2025,9,75,203,2016.0,147000.0,0,4,7,2,1368.0,95.0,4,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,,Sahibinden,0,9.0
1235000.0,04 Aralık 2025,34,88,517,2014.0,118000.0,2,1,4,2,1598.0,105.0,4,İkinci El,"3,9 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,1,11.0
695000.0,06 Aralık 2025,33,69,174,2015.0,305000.0,2,1,7,2,1364.0,90.0,4,İkinci El,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,2,10.0
590000.0,09 Aralık 2025,21,43,414,2003.0,159750.0,1,4,4,8,1598.0,100.0,4,İkinci El,"7,7 lt",52 lt,1 boyalı,,Sahibinden,1,22.0
725000.0,05 Aralık 2025,21,43,237,2011.0,125000.0,0,0,8,17,1364.0,140.0,4,İkinci El,"5,9 lt",56 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,1,14.0
301000.0,10 Aralık 2025,8,105,338,2008.0,228000.0,0,1,7,6,1461.0,65.0,4,İkinci El,"5,1 lt",50 lt,"3 değişen, 9 boyalı",Takasa Uygun Değil,Sahibinden,1,17.0
255000.0,09 Aralık 2025,24,64,225,2001.0,298000.0,0,4,4,12,1390.0,98.0,4,İkinci El,"6,7 lt",50 lt,Belirtilmemiş,,Sahibinden,2,24.0
395000.0,30 Kasım 2025,10,84,369,2001.0,218000.0,0,4,4,2,1596.0,100.0,4,İkinci El,"6,9 lt",55 lt,7 boyalı,Takasa Uygun Değil,Galeriden,1,24.0
1109000.0,02 Aralık 2025,34,124,91,2016.0,88000.0,2,0,4,2,1197.0,90.0,4,İkinci El,"4,7 lt",45 lt,1 boyalı,Takasa Uygun,Galeriden,1,9.0
265000.0,03 Aralık 2025,21,43,429,1997.0,206000.0,1,4,4,2,1598.0,100.0,4,İkinci El,,52 lt,11 boyalı,Takasa Uygun,Galeriden,1,28.0
336500.0,07 Aralık 2025,21,70,112,2009.0,245000.0,0,1,4,14,1248.0,75.0,4,İkinci El,"4,6 lt",45 lt,"3 değişen, 4 boyalı",Takasa Uygun,Galeriden,1,16.0
530000.0,10 Aralık 2025,9,103,127,2015.0,162700.0,0,1,7,6,1248.0,95.0,4,İkinci El,"4,9 lt",45 lt,"1 değişen, 3 boyalı",,Sahibinden,1,10.0
2250000.0,09 Aralık 2025,18,66,315,2023.0,27000.0,1,0,3,11,1499.0,136.0,4,İkinci El,"5,6 lt",40 lt,Tamamı orjinal,,Sahibinden,0,2.0
1195000.0,02 Aralık 2025,5,54,67,2023.0,34500.0,1,0,4,1,1199.0,112.0,4,İkinci El,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,0,2.0
